epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.896,1.49176,5.23279,1.20138,0.00332,0.94444,0.48191,0.24109,1.07297,5.01886,0.95336,0.00024293,0.00024293,0.00024293
2,816.424,1.39407,3.63424,1.19443,0.00302,0.91667,0.25037,0.11728,1.11018,5.16803,1.0273,0.000490247,0.000490247,0.000490247
3,1219.02,1.42179,3.30161,1.21634,0.00224,0.65741,0.40363,0.27264,1.12333,4.8836,1.11298,0.000727378,0.000727378,0.000727378
4,1593.85,1.2352,3.04455,1.1862,0.00292,0.85185,0.75535,0.48909,1.27178,4.93644,1.22373,0.000954323,0.000954323,0.000954323
5,1981.21,1.30431,2.82103,1.16894,0.86947,0.32445,0.60791,0.4108,1.16776,4.52086,1.1717,0.00117108,0.00117108,0.00117108
6,2368.03,1.23984,2.93126,1.21926,0.937,0.94444,0.95151,0.61973,1.22527,2.99008,1.2187,0.00128753,0.00128753,0.00128753
7,2762.14,1.29822,2.5142,1.2377,0.84822,0.84447,0.88268,0.54805,1.35257,3.23719,1.26522,0.00125923,0.00125923,0.00125923
8,3168.14,1.35728,2.46739,1.21335,0.86347,0.88889,0.93765,0.60239,1.27055,2.61298,1.28864,0.00123094,0.00123094,0.00123094
9,3576.2,1.19797,2.9995,1.14227,0.89424,0.94444,0.95369,0.60668,1.16465,2.39212,1.19195,0.00120265,0.00120265,0.00120265
10,4004.81,1.20488,2.20509,1.15261,0.93683,0.80665,0.93963,0.61668,1.25973,2.67719,1.18646,0.00117435,0.00117435,0.00117435
11,4366.06,1.23794,2.61253,1.12758,0.79124,0.94714,0.92142,0.59377,1.25118,2.7277,1.19554,0.00114606,0.00114606,0.00114606
12,4723.77,1.30335,1.91327,1.22367,0.9143,0.90438,0.95193,0.59011,1.3007,2.37955,1.29705,0.00111776,0.00111776,0.00111776
13,5079.75,1.16001,1.7098,1.13152,0.91411,0.88889,0.96273,0.6538,1.19737,2.03026,1.2279,0.00108947,0.00108947,0.00108947
14,5440.27,1.21725,1.66934,1.17451,0.9929,0.89689,0.97324,0.64786,1.25083,2.07236,1.24935,0.00106118,0.00106118,0.00106118
15,5803.35,1.22022,1.64323,1.18724,0.87524,0.73486,0.83138,0.53479,1.36343,2.70925,1.37529,0.00103288,0.00103288,0.00103288
16,6165.92,1.17417,1.29576,1.15085,0.95998,0.94923,0.97752,0.66051,1.18998,1.61544,1.21691,0.00100459,0.00100459,0.00100459
17,6532.71,1.12197,1.45578,1.16492,0.98599,0.94444,0.97545,0.69034,1.12766,1.63581,1.18045,0.000976293,0.000976293,0.000976293
18,6898.79,1.12338,1.31426,1.08434,0.95589,0.94058,0.96543,0.67898,1.11741,1.73899,1.13751,0.000947999,0.000947999,0.000947999
19,7267.6,1.0836,1.18248,1.12786,0.9755,0.94163,0.96383,0.658,1.17448,1.76244,1.19295,0.000919704,0.000919704,0.000919704
20,7631.31,1.14806,1.16589,1.16137,0.98434,0.95969,0.9746,0.66318,1.11456,1.55513,1.1414,0.00089141,0.00089141,0.00089141
21,7993.4,1.09475,1.1328,1.10842,0.99029,0.96296,0.97944,0.65317,1.1762,1.35266,1.16934,0.000863116,0.000863116,0.000863116
22,8356.5,1.22396,1.24456,1.20052,0.99837,0.96079,0.97744,0.67984,1.12739,1.32051,1.12342,0.000834822,0.000834822,0.000834822
23,8715.53,1.19141,1.10889,1.16008,0.99279,0.96296,0.9782,0.66632,1.2537,1.22561,1.17555,0.000806528,0.000806528,0.000806528
24,9082.57,1.07838,1.05228,1.08441,0.96483,0.94801,0.97551,0.671,1.14629,1.28186,1.10874,0.000778233,0.000778233,0.000778233
25,9442.7,1.1177,1.05845,1.10511,0.99761,0.9536,0.97854,0.68059,1.1507,1.1152,1.14193,0.000749939,0.000749939,0.000749939
26,9808.8,1.1374,1.1112,1.13554,0.99633,0.94097,0.97885,0.69253,1.08361,1.09538,1.10319,0.000721645,0.000721645,0.000721645
27,10176.2,0.99952,0.89412,1.04823,0.99097,0.94315,0.98211,0.68646,1.15318,1.16811,1.14719,0.000693351,0.000693351,0.000693351
28,10536,1.03806,0.96719,1.0543,0.97736,0.95724,0.98662,0.68631,1.12681,1.34709,1.12572,0.000665057,0.000665057,0.000665057
29,10904.2,1.0738,1.1796,1.05767,0.97525,0.96296,0.97935,0.67547,1.13707,1.18422,1.11716,0.000636762,0.000636762,0.000636762
30,11268.2,0.98085,0.90359,1.07528,0.95335,0.96296,0.97077,0.66277,1.12986,1.23561,1.12698,0.000608468,0.000608468,0.000608468
31,11630.3,1.00829,0.86819,1.06541,0.91801,0.95278,0.91958,0.65629,1.02277,1.6119,1.07545,0.000580174,0.000580174,0.000580174
32,11991,1.10127,0.89264,1.11694,0.98913,0.95988,0.98229,0.69279,1.0944,1.01798,1.1173,0.00055188,0.00055188,0.00055188
33,12353.6,1.04917,0.9102,1.04478,0.98615,0.98148,0.98562,0.68912,1.06861,0.94566,1.07916,0.000523586,0.000523586,0.000523586
34,12718.8,1.02402,0.82493,1.05363,0.99604,0.96296,0.98288,0.66199,1.22485,1.03327,1.1798,0.000495291,0.000495291,0.000495291
35,13085.3,0.95905,0.8174,1.03372,0.98885,0.95988,0.9832,0.70594,1.14192,1.00788,1.13324,0.000466997,0.000466997,0.000466997
36,13446.7,0.98066,0.82738,1.07615,0.92819,0.98148,0.96316,0.67378,1.11424,1.20336,1.12671,0.000438703,0.000438703,0.000438703
